	Tail	Head
0	10027394	2138777
1	10027394	2566547
2	10027394	8059694
3	10027394	8080489
4	10027394	9498536
5	10049952	8094734
6	10049952	8976193
7	10051618	1570017
8	10051618	367641
9	10051618	6384269
10	10051618	8640221
11	10051618	8782826
12	10051618	8945470
13	10051618	8945471
14	10051618	9133558
15	10051618	9133559
16	10051618	9267996
17	10051618	9285775
18	10051618	9614613
19	10051618	9758619
20	10051636	8013746
21	10051641	2263645
22	10051641	7621989
23	10051641	7971976
24	10051641	8608603
25	10051641	9032096
26	10051641	9114043
27	10051641	9357799
28	10051641	9389757
29	10051641	9435258
30	10051641	9482914
31	10051641	9751766
32	10051641	9784493
33	10051651	1371995
34	10051651	1411574
35	10051651	8256853
36	10051651	8376593
37	10053014	2272664
38	10053014	2494458
39	10053014	2499501
40	10053014	2784133
41	10053014	3139557
42	10053014	3309680
43	10053014	7499178
44	10053014	7560085
45	10053014	7612220
46	10053014	7744614
47	10053014	7806025
48	10053014	8099884
49	10053014	8224807
50	10053014	8447318
51	10053014	8557177
52	10053014	8621011
53	10053014	8971095
54	10053014	8981961
55	10053014	8982458
56	10053014	9000709
57	10053014	9215667
58	10053014	9361969
59	10053014	9519723
60	10053014	9530623
61	10074012	2187031
62	10074012	2676660
63	10074012	7556954
64	10074012	7580548
65	10074012	7589834
66	10074012	8174848
67	10074012	8349046
68	10074012	8408615
69	10074012	8666144
70	10074012	8817105
71	10074012	9072870
72	10074012	9169400
73	10074012	9231650
74	10074012	9836516
75	10077636	2521836
76	10077636	2526767
77	10077636	2526769
78	10077636	8109840
79	10077636	8887146
80	10086946	2132183
81	10086946	2644534
82	10086946	3101866
83	10086946	344114
84	10086946	3527834
85	10086946	3556104
86	10086946	3911910
87	10086946	640299
88	10086946	6760664
89	10086946	7737259
90	10086946	8096268
91	10086946	8957954
92	10086946	9313757
93	10090898	1545870
94	10090898	1671422
95	10090898	1899928
96	10090898	2192854
97	10090898	3177389
98	10090898	3428496
99	10090898	3803913
100	10090898	7611284
101	10090898	7657027
102	10090898	7795649
103	10090898	8522051
104	10090898	8621004
105	10090898	8635661
106	10090898	8640221
107	10090898	8712800
108	10090898	8782826
109	10090898	8786023
110	10090898	9075812
111	10090898	9278577
112	10090898	9519757
113	10189543	1532777
114	10189543	1547676
115	10189543	1551495
116	10189543	1600835
117	10189543	1778354
118	10189543	1996593
119	10189543	2318100
120	10189543	2500168
121	10189543	3054559
122	10189543	7601013
123	10189543	7623903
124	10189543	7729603
125	10189543	8425674
126	10189543	8875083
127	10189543	8922349
128	10189543	9032099
129	10189543	9075814
130	10189543	9096977
131	10190896	1510787
132	10190896	2205920
133	10190896	2405400
134	10190896	2510155
135	10190896	2794065
136	10190896	2838358
137	10190896	3275717
138	10190896	7682590
139	10190896	7988484
140	10190896	8064245
141	10190896	8402882
142	10190896	8594615
143	10190896	8635658
144	10190896	8637860
145	10190896	8683386
146	10190896	8920883
147	10190896	8990188
148	10190896	9053453
149	10190896	9094710
150	10190896	9133540
151	10190896	9166662
152	10190896	9221759
153	10190896	9254659
154	10190896	9334358
155	10190896	9391115
156	10190896	9846494
157	10191799	1299075
158	10191799	1534120
159	10191799	1914816
160	10191799	2776587
161	10191799	2912042
162	10191799	3384186
163	10191799	3698781
164	10191799	3706388
165	10191799	8484362
166	10191799	9075814
167	10191799	9119545
168	10193257	1544741
169	10193257	1878639
170	10193257	2707518
171	10193257	3391344
172	10193257	3772281
173	10193257	6407601
174	10193257	8669957
175	10193257	9301346
176	10193257	9403654
177	10193257	9447411
178	10197198	1541384
179	10197198	2503285
