,text,label
4124,kenan transport co ktco sets quarterly qtly div four cts vs four cts prior pay april record march reuter,earn
1072,franklin resources inc ben sets quarterly qtly div six cts vs six cts prior pay april record march reuter,earn
4503,minorco mnrcy half year dec shr cts vs cts net mln vs mln note net includes one mln dlr extraordinary gain and net icludes four mln dlrs extraordinary loss reuter,earn
2862,gevaert nv gevn br year consolidated group net profit billion francs vs billion net financial and operating profit billion vs mln extraordinary earnings mln vs mln net dividend francs vs reuter,earn
2148,engineering measurements co emco rd qtr net qtr ends jan shr four cts vs cts net vs revs vs nine mths shr cts vs cts net vs revs vs note excludes discontinued operations gain of dlrs in the third quarter fiscal and loss of dlrs in the nine months fiscal reuter,earn
1124,tie communications inc tie th qtr loss oper shr loss dlrs vs loss cts oper net loss mln vs loss mln revs mln vs mln mths oper shr loss dlrs vs loss dlrs oper net loss mln vs mln revs mln vs mln note for the qtr and yr loss reflects pretax loss of mln and mln which included a writedown of inventory and restructuring charges amounting to mln and mln and a tax gain of and for the qtr and yr loss consisted of a pretax loss of mln and mln which included a writedown of inventory restructuring charges and loss on the sale of a division amounting to mln and mln and a tax gain of and mln qtr excludes estimated loss for disposal of hcl leasing corp sold july as well as its operating results prior to this date year current and prior excludes loss and respectively for estimated loss on disposal of hcl leasing corp qtr and year current excludes foreign tax and respectively which payment would have been required in the absence of foreign operating loss carryforwards from prior years reuter,earn
3848,cb and t financial corp cbtf year net shr dlrs vs dlrs shr diluted dlrs vs dlrs net vs reuter,earn
4797,vse corp vsec th qtr net shr cts vs cts net vs revs mln vs mln year shr dlr vs dlr net vs revs mln vs mln note th qtr and year net includes income loss of metcap subsidiary of dlrs and dlrs or cts per share respectively th qtr and year net includes loss in metcap unit of dlrs and dlrs or cts per share respectively reuter,earn
1882,alitalia spa azpi mi calendar provisional net profit billion lire vs billion turnover billion vs billion note official results for alitalia italy s national airline which is controlled by the state industrial holding company istituto per la ricostruzione industriale iri are expected to be announced at an annual shareholders meeting in april reuter,earn
708,gateway medical systems inc rd qtr loss period end jan shr loss one cts vs profit eight cts net loss vs profit revs mln vs nine mths shr profit cts vs profit six cts net profit vs profit revs mln vs mln reuter,earn
3499,healthmate inc hmte th qtr loss shr loss five cts vs loss six cts net loss vs loss revs vs avg shrs vs year shr loss cts vs loss cts net vs loss revs vs avg shrs vs reuter,earn
1591,nodaway valley co nvco th qtr jan net shr cts vs cts net vs revs mln vs year shr cts vs cts net vs revs mln vs mln reuter,earn
1356,woolworths ltd reports mln dlr net profit yr end feb vs mln,earn
3475,texas international tei has unqualified audit texas international inc said it has received an unqualified audit opinion from auditor arthur andersen and co the company had received a qualified opinion on financial statements subject to its ability to resolve negotiations with its u s bank group subsequently it sold almost all its domestic oil and natural gas properties and retired all u s bank debt in march with part of the proceeds reuter,earn
980,telephone and data systems inc tds year net oper shr cts vs cts oper net vs revs mln vs mln avg shrs vs note net excludes discontinued operations a gain of dlrs or cts a share vs a loss of dlrs or seven cts a share net includes charge of dlrs from repeal of investment tax credits company corrects year per share operating net in table which originally ran march reuter,earn
4286,bull and bear group a bnbga cuts fund payouts bull and bear group a said it lowered its monthly dividends on three of its funds it said it lowered its tax free income fund bltfx to cts from cts its u s government guaranteed securities fund bbusx to cts from cts and its high yield fund bulhx to cts from cts all dividends are payable march to shareholders of record march the company said reuter,earn
4622,maui land and pinapple co inc quarterly dividend qtly div cts vs cts pay march record feb reuter,earn
3951,union valley corp uvc th qtr net shr cts vs cts net vs rev mln vs mln avg shares vs year shr cts vs one dlr net vs rev mln vs mln avg shares vs note includes extraordinary gain of dlrs or eight cts a share reuter,earn
1430,convenient food mart inc cfmi th qtr net period ended dec shr cts vs cts net vs revs vs year shr cts vs cts net vs revs vs note period ended december share results adjusted for five for four stock split on april and pct stock dividend issued dec reuter,earn
